,PC1,PC2,PC3,PC4
sugars_100g,0.1337213937132567,-0.69572436525859,-0.0041649803734515,0.6881190913766568
fat_100g,0.5483477530190269,-0.012241806611802492,0.0015161620538979156,0.03371219379115553
salt_100g,0.05598008276761193,0.7068943994293566,-0.03982621267506141,0.7001909404557924
proteins_100g,0.6306523258683403,0.12082085779884384,0.005097454533074615,-0.1602099592719605
energy-kcal_100g,-0.004477230046516804,0.024860937966165952,0.999165365912111,0.032100081485274726
fiber_100g,0.529676466575269,-0.0300384403059614,0.006067494876481187,-0.09160024396856167
